2026-01-22 12:06:38 | INFO | fixtures.browser_fixtures | Browser closed successfully 🧹
2026-01-22 12:06:38 | INFO | fixtures.browser_fixtures | ========== Browser Session Finished ==========
2026-01-22 12:14:23 | INFO | conftest | ========== Initiating Automation Setup ==========
2026-01-22 12:14:23 | INFO | fixtures.auth_fixtures | Auth disabled (--use-auth not provided). Running anonymous session.
2026-01-22 12:14:23 | INFO | fixtures.browser_fixtures | ========== Browser Session Setup ==========
2026-01-22 12:14:23 | INFO | fixtures.browser_fixtures | Browser type       : chromium
2026-01-22 12:14:23 | INFO | fixtures.browser_fixtures | Headless mode      : False
2026-01-22 12:14:23 | INFO | fixtures.browser_fixtures | SlowMo             : 50
2026-01-22 12:14:23 | INFO | fixtures.browser_fixtures | Channel            : chrome
2026-01-22 12:14:23 | INFO | fixtures.browser_fixtures | Using CDP          : False
2026-01-22 12:14:24 | INFO | fixtures.browser_fixtures | Launching new browser instance...
2026-01-22 12:14:24 | INFO | fixtures.browser_fixtures | New browser launched successfully ✅
2026-01-22 12:14:24 | INFO | fixtures.context_fixtures | --- Context setup started [Worker: main] ---
2026-01-22 12:14:24 | INFO | fixtures.context_fixtures | Capture HAR    : False
2026-01-22 12:14:24 | INFO | fixtures.context_fixtures | Capture Trace  : False
2026-01-22 12:14:24 | INFO | fixtures.context_fixtures | Capture Video  : False
2026-01-22 12:14:24 | INFO | fixtures.context_fixtures | Auth Enabled   : False
2026-01-22 12:14:24 | INFO | fixtures.context_fixtures | No storage_state — running anonymous session
2026-01-22 12:14:24 | INFO | fixtures.context_fixtures | Browser context created successfully
2026-01-22 12:14:24 | INFO | fixtures.context_fixtures | Cookie consent injected
2026-01-22 12:14:24 | INFO | fixtures.page_fixtures | Creating new page...
2026-01-22 12:14:26 | INFO | fixtures.page_fixtures | New page created successfully
2026-01-22 12:14:26 | INFO | fixtures.page_fixtures | Navigating to base URL: https://pharmeasy.in/online-medicine-order?src=header
2026-01-22 12:14:34 | INFO | HomePage | [ButtonFetcher] Fetching buttons using mode: all
2026-01-22 12:14:34 | INFO | HomePage | [ButtonFetcher] Found 16 total clickable buttons
2026-01-22 12:14:34 | INFO | test_home | Count of Inputs: 16
2026-01-22 12:14:34 | INFO | test_home | Input 0: 
2026-01-22 12:14:34 | INFO | test_home | Input 1: 
2026-01-22 12:14:34 | INFO | test_home | Input 2: Search for Medicines...
Search
2026-01-22 12:14:34 | INFO | test_home | Input 3: Install App 
2026-01-22 12:14:34 | INFO | test_home | Input 4: CODE: CURE25P
2026-01-22 12:14:34 | INFO | test_home | Input 5: 
2026-01-22 12:14:34 | INFO | test_home | Input 6: ✅ Is buying medicines online safe?
2026-01-22 12:14:34 | INFO | test_home | Input 7: ✅ Why choose us for your medicine home delivery?
2026-01-22 12:14:34 | INFO | test_home | Input 8: ✅ How do I order medicines from PharmEasy?
2026-01-22 12:14:34 | INFO | test_home | Input 9: ✅ When will PharmEasy deliver my medicines?
2026-01-22 12:14:34 | INFO | test_home | Input 10: ✅ Do I get discounts/cashback while ordering medicines online with PharmEasy?
2026-01-22 12:14:34 | INFO | test_home | Input 11: ✅ If a medicine that I want to order is currently unavailable then what should I do?
2026-01-22 12:14:34 | INFO | test_home | Input 12: ✅ When will I receive my order?
2026-01-22 12:14:34 | INFO | test_home | Input 13: ✅ What is the shelf life of medicines being provided?
2026-01-22 12:14:34 | INFO | test_home | Input 14: ✅ How can I modify my order?
2026-01-22 12:14:34 | INFO | test_home | Input 15: ✅ How do I cancel my order?
2026-01-22 12:14:34 | INFO | fixtures.page_fixtures | Test PASSED: test_verify_home_page
2026-01-22 12:14:34 | INFO | fixtures.page_fixtures | Page closed successfully
2026-01-22 12:14:34 | INFO | fixtures.context_fixtures | Browser context closed [Worker: main]
2026-01-22 12:14:34 | INFO | fixtures.context_fixtures | --- Context teardown completed [Worker: main] ---
2026-01-22 12:14:34 | INFO | fixtures.browser_fixtures | Closing browser session...
2026-01-22 12:14:34 | INFO | fixtures.browser_fixtures | Browser closed successfully 🧹
